oblast;MPs;smd;money
Житомирська область;Володимир Арешонков;64;12 000 000 
Одеська область;Іван Фурсін;138;18 989 144 
Волинська область;Ігор Лапін;22;16 971 700 
Черкаська область;Геннадій Бобов;196;15 202 220 
Сумська область;Владислав Бухарєв;162;5 000 000 
Київська область;Руслан Сольвар;91;26 462 000 
Херсонська область;Іван Вінник;184;16 989 262 
Херсонська область;Юрій Одарченко;183;3 577 000 
Миколаївська область;Артем Ільюк;128;11 197 800 
Рівненська область;Юрій Вознюк;153;28 651 800 
Житомирська область;Олександр Ревега;63;9 390 000 
Полтавська область;Руслан Богдан;151;13 496 582 
Донецька область;Сергій Сажко;59;1 200 000 
Дніпропетровська область;Валентин Дідич;40;3 400 846 
Донецька область;Євгеній Гєллєр;50;34 498 000 
Вінницька область;Олексій Порошенко;12;12 802 000 
Донецька область;Ігор Шкіря;52;10 000 000 
Кіровоградська область;Костянтин Яриніч;99;34 063 000 
Волинська область;Сергій Мартиняк;20;16 999 983 
Тернопільська область;Олег Барна;167;14 981 000 
Львівська область;Ярослав Дубневич;120;16 166 666 
Сумська область;Микола Лаврик;161;12 377 600 
Хмельницька область;Андрій Шинькович;189;12 000 000 
Київська область;Олександр Онищенко;93;11 999 996 
Одеська область;Віталій Барвіненко;141;13 428 000 
Івано-Франківська область;Олександр Шевченко;83;37 606 508 
Полтавська область;Сергій Каплін;144;13 525 300 
Івано-Франківська область;Віктор Шевченко;85;7 054 176 
Чернівецька область;Іван Рибак;202;18 371 600 
Вінницька область;Юрій Македон;16;17 000 000 
Харківська область;Віталій Хомутиннік;171;19 327 600 
Івано-Франківська область;Юрій Дерев'янко;87;11 340 000 
Чернігівська область;Максим Микитась;206;3 882 000 
Волинська область;Ірина Констанкевич;23;6 562 400 
Київська область;Ярослав Москаленко;96;4 103 380 
Львівська область;Андрій Лопушанський;125;15 833 334 
Дніпропетровська область;Дмитро Шпенов;37;1 344 000 
Львівська область;Богдан Дубневич;118;5 000 000 
Житомирська область;Павло Дзюблик;66;17 013 809 
Хмельницька область;Сергій Мельник;187;5 820 000 
Запорізька область;Вадим Кривохатько;82;15 025 000 
Житомирська область;Борислав Розенблат;62;16 050 000 
Івано-Франківська область;Михайло Довбенко;84;17 000 000 
Запорізька область;Вячеслав Богуслаєв;77;17 000 000 
Запорізька область;Євген Балицький;80;3 799 000 
Запорізька область;Петро Сабашук;74;21 192 559 
Рівненська область;Олег Осуховський;152;1 230 000 
Запорізька область;Сергій Валентиров;81;10 276 000 
Дніпропетровська область;Вадим Нестеренко;38;18 136 000 
Дніпропетровська область;Костянтин Усов;33;16 911 820 
Вінницька область;Іван Спориш;15;17 000 000 
Одеська область;Дмитро Голубов;136;14 000 000 
Львівська область;Богдан Матківський;121;12 000 000 
Чернівецька область;Максим Бурбак;204;8 236 300 
Львівська область;Ірина Подоляк;116;5 500 000 
Дніпропетровська область;Тетяна Ричкова;27;5 000 000 
Рівненська область;Сергій Євтушок;156;4 000 000 
Харківська область;Дмитро Добкін;178;4 502 085 
Донецька область;Денис Омельянович;49;3 000 000 
Одеська область;Едуард Матвійчук;133;3 000 000 
Чернігівська область;Анатолій Євлахов;207;2 937 000 
Харківська область;Дмитро Шенцев;176;2 110 549 
Харківська область;Євгеній Мураєв;181;1 970 406 
Дніпропетровська область;Віталій Купрій;29;520 000 
Закарпатська область;Михайло Ланьо;70;7 542 000 
Закарпатська область;Павло Балога;71;24 545 104 
Дніпропетровська область;Яків Безбах;24;0 
Дніпропетровська область;Андрій Денисенко;26;0 
Дніпропетровська область;Іван Куліченко;28;0 
Дніпропетровська область;Андрій Гальченко;32;0 
Дніпропетровська область;Артур Мартовицький;36;0 
Дніпропетровська область;Дмитро Ярош;39;0 
Донецька область;Юхим Звягільський;45;0 
Донецька область;Сергій Клюєв;46;0 
Донецька область;Олег Недава;53;0 
Закарпатська область;Віктор Балога;69;0 
Закарпатська область;Іван Балога;73;0 
Запорізька область;Олександр Пономарьов;78;0 
Київська область;Олександр Марченко;90;0 
Київська область;Віталій Гудзенко;92;0 
Кіровоградська область;Михайло Поплавський;101;0 
Луганська область;Євген Бакулін;106;0 
Луганська область;Сергій Дунаєв;107;0 
Луганська область;Юлій Іоффе;112;0 
Луганська область;Сергій Шахов;114;0 
Львівська область;Дмитро Добродомов;115;0 
Львівська область;Оксана Юринець;117;0 
Львівська область;Володимир Парасюк;122;0 
Миколаївська область;Олександр Жолобецький;129;0 
Одеська область;Сергій Ківалов;135;0 
Полтавська область;Костянтин Іщейкін;148;0 
Полтавська область;Костянтин Жеваго;150;0 
Тернопільська область;Тарас Пастух;163;0 
Тернопільська область;Михайло Головко;164;0 
Тернопільська область;Микола Люшняк;166;0 
Харківська область;Олександр Кірш;169;0 
Харківська область;Дмитро Святаш;170;0 
Харківська область;Володимир Мисик;172;0 
Харківська область;Олександр Фельдман;174;0 
Хмельницька область;Олександр Герега;192;0 
м. Київ;Євген Рибчинський;211;0 
м. Київ;Віталій Сташук;212;0 
м. Київ;Борислав Береза;213;0 
м. Київ;Віктор Чумак;214;0 
м. Київ;Андрій Іллєнко;215;0 
м. Київ;Олександр Супруненко;216;0 
м. Київ;Андрій Білецький;217;0 
м. Київ;Дмитро Андрієвський;222;0 
м. Київ;Юрій Левченко;223;0 
