oblast,title,amount,bill,smd
Вінницька область,"Придбання телевізора та принтера для комунального закладу ""Навчально-виховний комплекс I - III ступенів ""ліцей-школа"" Козятинської міської ради Вінницької області"", м. Козятин",9000,934,13
Вінницька область,"Придбання телевізора та принтера для загальноосвітньої середньої школи I - III ступенів N 5 Козятинської міської ради Вінницької області, м. Козятин",9000,934,13
Вінницька область,"Придбання комп'ютерної техніки для загальноосвітнього навчально-виховного комплексу I - III ступенів ""школа-дитячий садок"" N 6 Козятинської міської ради Вінницької області, смт Залізничне м. Козятина",9000,934,13
Вінницька область,"Придбання багатофункціонального пристрою для комунального закладу ""Навчально-виховний комплекс Загальноосвітня школа I - III ступенів - дитячий садок села Сальник Калинівського району Вінницької області""",10000,423,13
Вінницька область,"Придбання багатофункціонального пристрою для комунального закладу ""Навчально-виховний комплекс Загальноосвітня школа I - III ступенів - дитячий садок села Хомутинці Калинівського району Вінницької області""",10000,423,13
Вінницька область,"Придбання музичного обладнання для комунального закладу ""Навчально-виховний комплекс Загальноосвітня школа I - II ступенів - дитячий садок села Жигалівка Калинівського району Вінницької області""",10000,423,13
Вінницька область,Придбання морозильної скрині для загальноосвітньої школи I - III ступенів с. Мирне Калинівського району Вінницької області,10000,423,13
Вінницька область,Придбання багатофункціонального пристрою для загальноосвітньої школи I - II ступенів с. Люлинці Калинівського району Вінницької області,10000,423,13
Вінницька область,Придбання багатофункціонального пристрою для загальноосвітньої школи I - II ступенів села Нападівка Калинівського району Вінницької області,10000,423,13
Вінницька область,"Придбання електроплити для комунального закладу ""Навчально-виховний комплекс ""Загальноосвітня школа I - II ступенів-дитячий садок села Польова Лисіївка"" Калинівського району Вінницької області""",10000,423,13
Вінницька область,"Придбання холодильного обладнання для комунального закладу ""Навчально-виховний комплекс Загальноосвітня школа I - II ступенів-дитячий садок села Шепіївка Калинівського району Вінницької області""",10000,423,13
Вінницька область,"Придбання газової плити для комунального закладу ""Навчально-виховний комплекс Загальноосвітня школа I - II ступенів-дитячий садок села Заливанщина Калинівського району Вінницької області""",10000,423,13
Вінницька область,Придбання комплекту меблів для загальноосвітньої школи I - III ступенів с. Кропивна Хмільницького району Вінницької області,10000,423,13
Вінницька область,Придбання комплекту меблів для загальноосвітньої школи I - II ступенів с. Білий Рукав Хмільницького району Вінницької області,10000,423,13
Вінницька область,Придбання комплекту меблів для загальноосвітньої школи I - II ступенів с. Великий Острожок Хмільницького району Вінницької області,10000,423,13
Вінницька область,"Придбання комплекту меблів для навчально-виховного комплексу ""Загальноосвітня школа I - II ступенів-дошкільний навчальний заклад"" с. Воронівці Хмільницького району Вінницької області",10000,423,13
Вінницька область,Придбання комплекту меблів для загальноосвітньої школи I - II ступенів с. Рибчинці Хмільницького району Вінницької області,10000,423,13
Вінницька область,Придбання комплекту меблів для загальноосвітньої школи I - II ступенів с. Соколова Хмільницького району Вінницької області,10000,423,13
Вінницька область,"Придбання комплекту меблів для навчально-виховного комплексу ""Загальноосвітня школа I - II ступенів-дошкільний навчальний заклад"" с. Тараски Хмільницького району Вінницької області",10000,423,13
Вінницька область,Придбання комплекту меблів для загальноосвітньої школи I - II ступенів с. Торчин Хмільницького району Вінницької області,10000,423,13
Вінницька область,Придбання комплекту меблів для загальноосвітньої школи I - III ступенів с. Голодьки Хмільницького району Вінницької області,10000,423,13
Вінницька область,"Придбання комплекту меблів для навчально-виховного комплексу ""Загальноосвітня школа I ступеня-дошкільний навчальний заклад"" с. Лелітка Хмільницького району Вінницької області",10000,423,13
Вінницька область,Придбання комплекту меблів для загальноосвітньої школи I - II ступенів с. Куманівці Хмільницького району Вінницької області,10000,423,13
Вінницька область,Придбання комплекту меблів для загальноосвітньої школи I - II ступенів с. Скаржинці Хмільницького району Вінницької області,10000,423,13
Вінницька область,Придбання комплекту меблів для загальноосвітньої школи I ступеня с. Морозівка Хмільницького району Вінницької області,10000,423,13
Вінницька область,"Придбання комплекту меблів для навчально-виховного комплексу ""Загальноосвітня школа I - II ступенів-дошкільний навчальний заклад"" с. Подорожна Хмільницького району Вінницької області",10000,423,13
Вінницька область,"Придбання комплекту меблів для навчально-виховного комплексу ""Загальноосвітня школа I - II ступенів -дошкільний навчальний заклад"" с. Терешпіль Хмільницького району Вінницької області",10000,423,13
Вінницька область,Придбання фотоапарату для сільської бібліотеки с. Куманівці Хмільницького району Вінницької області,10000,423,13
Вінницька область,"Придбання меблів, побутової, комп'ютерної техніки для дошкільного навчального закладу с. Сьомаки Хмільницького району Вінницької області",10000,423,13
Вінницька область,"Придбання меблів, побутової, комп'ютерної техніки для дошкільного навчального закладу с. В. Митник Хмільницького району Вінницької області",10000,423,13
Вінницька область,"Придбання меблів, побутової, комп'ютерної техніки для дошкільного навчального закладу с. Вишенька Хмільницького району Вінницької області",10000,423,13
Вінницька область,"Придбання меблів, побутової, комп'ютерної техніки для дошкільного навчального закладу с. Голодьки Хмільницького району Вінницької області",10000,423,13
Вінницька область,"Придбання меблів, побутової, комп'ютерної техніки для дошкільного навчального закладу с. Куманівці Хмільницького району Вінницької області",10000,423,13
Вінницька область,"Придбання меблів, побутової, комп'ютерної техніки для дошкільного навчального закладу с. Кустівці Хмільницького району Вінницької області",10000,423,13
Вінницька область,"Придбання меблів, побутової, комп'ютерної техніки для дошкільного навчального закладу с. Лип'ятин Хмільницького району Вінницької області",10000,423,13
Вінницька область,"Придбання меблів, побутової, комп'ютерної техніки для дошкільного навчального закладу с. Лозна Хмільницького району Вінницької області",10000,423,13
Вінницька область,"Придбання меблів, побутової, комп'ютерної техніки для дошкільного навчального закладу с. Мар'янівка Хмільницького району Вінницької області",10000,423,13
Вінницька область,"Придбання меблів, побутової, комп'ютерної техніки для дошкільного навчального закладу с. Маркуші Хмільницького району Вінницької області",10000,423,13
Вінницька область,"Придбання меблів, побутової, комп'ютерної техніки для дошкільного навчального закладу с. Порик Хмільницького району Вінницької області",10000,423,13
Вінницька область,"Придбання меблів, побутової, комп'ютерної техніки для дошкільного навчального закладу с. Пустовійти Хмільницького району Вінницької області",10000,423,13
Вінницька область,"Придбання меблів, побутової, комп'ютерної техніки для дошкільного навчального закладу с. Скаржинці Хмільницького району Вінницької області",10000,423,13
Вінницька область,"Придбання меблів, побутової та комп'ютерної техніки для дошкільного навчального закладу с. Соколова Хмільницького району Вінницької області",10000,423,13
Вінницька область,"Придбання меблів, побутової та комп'ютерної техніки для дошкільного навчального закладу с. Терешпіль Хмільницького району Вінницької області",10000,423,13
Вінницька область,"Придбання меблів, побутової та комп'ютерної техніки для дошкільного навчального закладу с. Уланів Хмільницького району Вінницької області",10000,423,13
Вінницька область,"Придбання меблів, побутової та комп'ютерної техніки для дошкільного навчального закладу с. Ш. Гребля Хмільницького району Вінницької області",10000,423,13
Вінницька область,Придбання комплекту меблів для загальноосвітньої школи I - II ступенів с. Семки Хмільницького району Вінницької області,10000,423,13
Вінницька область,"Придбання меблів, побутової та комп'ютерної техніки для дошкільного навчального закладу с. Жданівка Хмільницького району Вінницької області",10000,423,13
Вінницька область,"Придбання меблів, побутової та комп'ютерної техніки для дошкільного навчального закладу с. Качанівка Хмільницького району Вінницької області",10000,423,13
Вінницька область,"Придбання плити електричної побутової для комунального закладу ""Навчально-виховний комплекс Загальноосвітня школа I - II ступенів - дитячий садок"" с. Грушківці Калинівського району Вінницької області",10000,423,13
Вінницька область,Придбання холодильного обладнання для загальноосвітньої школи I - III ступенів с. Глинськ Калинівського району Вінницької області,10000,423,13
Вінницька область,Придбання морозильної скрині для загальноосвітньої школи I - III ступенів с. Голендри Калинівського району Вінницької області,10000,423,13
Вінницька область,"Придбання багатофункціонального пристрою для комунального закладу ""Навчально-виховний комплекс Загальноосвітня школа I - III ступенів - дитячий садок села Лемешівка Калинівського району Вінницької області""",10000,423,13
Вінницька область,"Придбання багатофункціонального пристрою для комунального закладу ""Навчально-виховний комплекс загальноосвітня школа I - III ступенів - дитячий садок села Лісова Лисіївка Калинівського району Вінницької області""",10000,423,13
Вінницька область,Придбання багатофункціонального пристрою для загальноосвітньої школи I - III ступенів N 1 с. Пиків Калинівського району Вінницької області,10000,423,13
Вінницька область,Придбання морозильної скрині для загальноосвітньої школи I - III ступенів N 2 с. Пиків Калинівського району Вінницької області,10000,423,13
Вінницька область,"Придбання телевізора для державного навчального закладу ""Професійно-технічне училище N 21"" м. Калинівка Калинівського району",10000,867,13
Вінницька область,"Придбання телевізора для закладу дошкільної освіти ""Сонечко"" Новогребельської сільської ради Калинівського району Вінницької області",10000,867,13
Вінницька область,"Придбання телевізора для комунального закладу ""Гущинецький дошкільний навчальний заклад"" Калинівського району Вінницької області",10000,867,13
Вінницька область,"Придбання телевізора для Іванівського дошкільного навчального закладу ""Малятко"" Калинівського району Вінницької області",10000,867,13
Вінницька область,"Придбання комплекту меблів для дошкільного навчального закладу N 3 ""Сонечко"" Козятинської міської ради, м. Козятин",10000,867,13
Вінницька область,"Придбання комплекту меблів для дошкільного навчального закладу N 4 ""Малятко"" Козятинської міської ради, м. Козятин",10000,867,13
Вінницька область,"Придбання комплекту меблів для дошкільного навчального закладу N 5 Козятинської міської ради, м. Козятин",10000,867,13
Вінницька область,"Придбання комплекту меблів для дошкільного навчального закладу N 2 ""Журавонька"" Козятинської міської ради, м. Козятин",10000,867,13
Вінницька область,"Придбання комплекту меблів для дошкільного навчального закладу N 1 ""Лелека"" Козятинської міської ради, м. Козятин",10000,867,13
Вінницька область,"Придбання комплекту меблів для дошкільного навчального закладу N 6 ""Теремок"" Козятинської міської ради, м. Козятин",10000,867,13
Вінницька область,"Придбання меблів, побутової, комп'ютерної техніки, для дошкільного навчального закладу с. Качанівка Хмільницького району Вінницької області",10000,867,13
Вінницька область,"Придбання телевізора для комунальної установи ""Дошкільний навчальний заклад"" с. Бережани Калинівського району Вінницької області",10000,867,13
Вінницька область,"Придбання телевізора для комунального закладу ""Дошкільний навчальний заклад ""Сонечко"" с. Глинськ Калинівського району Вінницької області",10000,867,13
Вінницька область,"Придбання телевізора для комунальної установи ""дошкільний навчальний заклад ""Пролісок"" с. Корделівка Калинівського району Вінницької області",10000,867,13
Вінницька область,"Придбання телевізора для Нападівського дошкільного навчального закладу ""Сонечко"" Калинівського району Вінницької області",10000,867,13
Вінницька область,Придбання телевізора для Павлівського дошкільного навчального закладу Калинівського району Вінницької області,10000,867,13
Вінницька область,"Придбання телевізора для комунального закладу ""Пиківський дошкільний навчальний заклад ""Віночок"" Калинівського району Вінницької області",10000,867,13
Вінницька область,"Придбання телевізора для Радівського дошкільного навчального закладу ""Сонечко"" Калинівського району Вінницької області",10000,867,13
Вінницька область,Придбання телевізора для дошкільного навчального закладу села Райки Калинівського району Вінницької області,10000,867,13
Вінницька область,Придбання телевізора для Уладівського дошкільного закладу Калинівського району Вінницької області,10000,867,13
Вінницька область,Придбання телевізора для Черепашинецького дошкільного навчального закладу Калинівського району Вінницької області,10000,867,13
Вінницька область,Придбання телевізора для Калинівської дитячої музичної школи Калинівського району Вінницької області,10000,867,13
Вінницька область,"Придбання бензинової мотокоси, комп'ютерного обладнання для комунального закладу ""Музей Хліба с. Білопілля"", с. Білопілля Козятинського району",10000,867,13
Вінницька область,"Придбання комплекту меблів для Махнівського дошкільного навчального закладу ""Ромашка"", с. Махнівка",10000,867,13
Вінницька область,"Придбання комплекту меблів для Кордишівського дошкільного навчального закладу ""Веселка"", с. Кордишівка",10000,867,13
Вінницька область,"Придбання комплекту меблів для Махаринецького дошкільного навчального закладу ""Сонечко"", с. Махаринці",10000,867,13
Вінницька область,"Придбання комплекту меблів для Білопільського дошкільного навчального закладу ""Малятко"", с. Білопілля",10000,867,13
Вінницька область,"Придбання комплекту меблів для Журбинецької філії Дубовомахаринецького загальноосвітнього навчально-виховного комплексу I - III ступенів ""Школа-дитячий садок"", с. Журбинці",10000,867,13
Вінницька область,"Придбання меблів, побутової, комп'ютерної техніки для дошкільного навчального закладу с. Білий Рукав Хмільницького району Вінницької області",10000,867,13
Вінницька область,"Придбання меблів, побутової, комп'ютерної техніки для дошкільного навчального закладу с. Великий Митник Хмільницького району Вінницької області",10000,867,13
Вінницька область,"Придбання меблів, побутової, комп'ютерної техніки для дошкільного навчального закладу с. Вишенька Хмільницького району Вінницької області",10000,867,13
Вінницька область,"Придбання меблів, побутової, комп'ютерної техніки для дошкільного навчального закладу с. Голодьки Хмільницького району Вінницької області",10000,867,13
Вінницька область,"Придбання меблів, побутової, комп'ютерної техніки для дошкільного навчального закладу с. Куманівці Хмільницького району Вінницької області",10000,867,13
Вінницька область,"Придбання меблів, побутової, комп'ютерної техніки для дошкільного навчального закладу с. Кустівці Хмільницького району Вінницької області",10000,867,13
Вінницька область,"Придбання меблів, побутової, комп'ютерної техніки для дошкільного навчального закладу с. Лип'ятин Хмільницького району Вінницької області",10000,867,13
Вінницька область,"Придбання меблів, побутової, комп'ютерної техніки для дошкільного навчального закладу с. Лозна Хмільницького району Вінницької області",10000,867,13
Вінницька область,"Придбання меблів, побутової, комп'ютерної техніки для дошкільного навчального закладу с. Мар'янівка Хмільницького району Вінницької області",10000,867,13
Вінницька область,"Придбання меблів, побутової, комп'ютерної техніки для дошкільного навчального закладу с. Маркуші Хмільницького району Вінницької області",10000,867,13
Вінницька область,"Придбання меблів, побутової, комп'ютерної техніки для дошкільного навчального закладу с. Порик Хмільницького району Вінницької області",10000,867,13
Вінницька область,"Придбання меблів, побутової, комп'ютерної техніки для дошкільного навчального закладу с. Пустовійти Хмільницького району Вінницької області",10000,867,13
Вінницька область,"Придбання меблів, побутової, комп'ютерної техніки для дошкільного навчального закладу с. Скаржинці Хмільницького району Вінницької області",10000,867,13
Вінницька область,"Придбання меблів, побутової, комп'ютерної техніки для дошкільного навчального закладу с. Соколова Хмільницького району Вінницької області",10000,867,13
Вінницька область,"Придбання меблів, побутової, комп'ютерної техніки для дошкільного навчального закладу с. Терешпіль Хмільницького району Вінницької області",10000,867,13
Вінницька область,"Придбання меблів, побутової, комп'ютерної техніки для дошкільного навчального закладу с. Уланів Хмільницького району Вінницької області",10000,867,13
Вінницька область,"Придбання меблів, побутової, комп'ютерної техніки для дошкільного навчального закладу с. Широка Гребля Хмільницького району Вінницької області",10000,867,13
Вінницька область,"Придбання меблів, побутової, комп'ютерної техніки для навчально-виховного комплексу ""Загальноосвітня школа I - III ступенів-дошкільний навчальний заклад"" с. Березна Хмільницького району Вінницької області (для дитячого дошкільного закладу)",10000,867,13
Вінницька область,"Придбання меблів, побутової, комп'ютерної техніки для навчально-виховного комплексу ""Загальноосвітня школа I - III ступенів-дошкільний навчальний заклад"" с. Кушелівка Хмільницького району Вінницької області (для дитячого дошкільного закладу)",10000,867,13
Вінницька область,"Придбання меблів, побутової, комп'ютерної техніки для навчально-виховного комплексу ""Загальноосвітня школа I - III ступенів-дошкільний навчальний заклад"" с. Лозова Хмільницького району Вінницької області (для дитячого дошкільного закладу)",10000,867,13
Вінницька область,"Придбання меблів, побутової, комп'ютерної техніки для навчально-виховного комплексу ""Загальноосвітня школа I - III ступенів-дошкільний навчальний заклад"" с. Сьомаки Хмільницького району Вінницької області (для дитячого дошкільного закладу)",10000,867,13
Вінницька область,"Придбання меблів, побутової, комп'ютерної техніки для навчально-виховного комплексу ""Загальноосвітня школа I - III ступенів-дошкільний навчальний заклад"" с. Томашпіль Хмільницького району Вінницької області (для дитячого дошкільного закладу)",10000,867,13
Вінницька область,"Придбання меблів, побутової, комп'ютерної техніки для навчально-виховного комплексу ""Загальноосвітня школа I - II ступенів-дошкільний навчальний заклад"" с. Великий Острожок Хмільницького району Вінницької області (для дитячого дошкільного закладу)",10000,867,13
Вінницька область,"Придбання меблів, побутової, комп'ютерної техніки для навчально-виховного комплексу ""Загальноосвітня школа I - II ступенів-дошкільний навчальний заклад"" с. Пагурці Хмільницького району Вінницької області (для дитячого дошкільного закладу)",10000,867,13
Вінницька область,"Придбання меблів, побутової, комп'ютерної техніки для навчально-виховного комплексу ""Загальноосвітня школа I - II ступенів-дошкільний навчальний заклад"" с. Подорожна Хмільницького району Вінницької області (для дитячого дошкільного закладу)",10000,867,13
Вінницька область,"Придбання меблів, побутової, комп'ютерної техніки для навчально-виховного комплексу ""Загальноосвітня школа I - II ступенів-дошкільний навчальний заклад"" с. Тараски Хмільницького району Вінницької області (для дитячого дошкільного закладу)",10000,867,13
Вінницька область,"Придбання меблів, побутової, комп'ютерної техніки для навчально-виховного комплексу ""Загальноосвітня школа I - II ступенів-дошкільний навчальний заклад"" с. Терешпіль Хмільницького району Вінницької області (для дитячого дошкільного закладу)",10000,867,13
Вінницька область,"Придбання меблів, побутової, комп'ютерної техніки для навчально-виховного комплексу ""Загальноосвітня школа I ступеня-дошкільний навчальний заклад"" с. Лелітка Хмільницького району Вінницької області (для дитячого дошкільного закладу)",10000,867,13
Вінницька область,Придбання побутової техніки для сільського клубу с. Рогинці Хмільницького району Вінницької області,10000,867,13
Вінницька область,Придбання акустичної системи для сільського клубу с. Кустівці Хмільницького району Вінницької області,10000,867,13
Вінницька область,Придбання телевізора для дошкільного навчального закладу ясла-садок N 1 м. Калинівка Калинівського району Вінницької області,10000,867,13
Вінницька область,"Придбання телевізора для комунального закладу ""Дошкільний навчальний заклад N 2 ""Казка"" м. Калинівка Калинівського району Вінницької області",10000,867,13
Вінницька область,Придбання телевізора для дошкільного закладу N 3 м. Калинівка Калинівського району Вінницької області,10000,867,13
Вінницька область,Придбання телевізора для дошкільного навчального закладу ясла-садок N 4 м. Калинівка Калинівського району Вінницької області,10000,867,13
Вінницька область,Придбання телевізора для дошкільного навчального закладу ясла-садок N 5 м. Калинівка Калинівського району Вінницької області,10000,867,13
Вінницька область,Придбання телевізора для дошкільного навчального закладу ясла-садок N 6 м. Калинівка Калинівського району Вінницької області,10000,867,13
Вінницька область,Придбання телевізора для дошкільного навчального закладу ясла-садок N 7 м. Калинівка Калинівського району Вінницької області,10000,867,13
Вінницька область,"Придбання телевізора для комунального закладу ""Дошкільний навчальний заклад (ясла-садок) ""Дивосвіт"""" с. Дружелюбівка Калинівського району Вінницької області",10000,867,13
Вінницька область,"Придбання комплекту меблів для Гуровецької філії I - III ступенів Непедівського загальноосвітнього навчально-виховного комплексу I - III ступенів ""Школа-дитячий садок"", с. Гурівці",10000,867,13
Вінницька область,"Придбання комплекту меблів для дошкільного навчального закладу ""Берізка"", смт Глухівці",10000,867,13
